Numero de Solicitud,Gerencia,Estado,Fecha AutorizaciOn,Fecha de Cierre Cancelacion,Rango Ponderacion,Puntaje,Esfuerzo,Grupo Principal de Desarrollo,Fecha Asignacion
SOL000785,PROCESOS Y ORGANIZACION,Desarrollo,25/09/2019,,Medio Alto,3.88,,SUCURSALES BACK END,26/09/2019
SOL000784,CONTADURIA,Cancelado,25/09/2019,27/09/2019,Muy Bajo,0.18,,INTRANET,
SOL000783,PRODUCTOS EMPRESAS,Validacion,24/09/2019,,Medio Bajo,2.5,,PRESTAMOS,
SOL000782,GESTION DE RIESGOS,Prueba,24/09/2019,,Medio Bajo,1.67,S,SISTEMA DE GESTION INTERNA,24/09/2019
SOL000781,ASUNTOS JUDICIALES,Cancelado,24/09/2019,25/09/2019,Muy Bajo,0,,JUREX,
SOL000780,PRODUCTOS,Asignado,23/09/2019,,Bajo,1.41,,INTERNET / MOBILE,01/10/2019
SOL000779,PROCESOS Y ORGANIZACION,Validacion,23/09/2019,,Medio Bajo,1.81,,PAGOS Y SERVICIOS,
SOL000778,GESTION DE RIESGOS,Cancelado,23/09/2019,24/09/2019,Medio Bajo,1.67,,,
SOL000777,COMERCIO EXTERIOR,Desarrollo,23/09/2019,,Medio Bajo,2.47,M,REGIMENES INFORMATIVOS,26/09/2019
SOL000776,GESTION DE LAS PERSONAS,Prueba,20/09/2019,,Muy Bajo,0.32,,META 4,26/09/2019
SOL000775,SOPORTE DEL NEGOCIO,Ingresado,20/09/2019,,Alto,7.57,,BIP CANAL,
SOL000774,PROCESOS Y ORGANIZACION,Asignado,20/09/2019,,Medio Bajo,2.12,,PAGOS Y SERVICIOS,24/09/2019
SOL000773,PROCESOS Y ORGANIZACION,Asignado,20/09/2019,,Medio Bajo,2.52,XL,PRESTAMOS,20/09/2019
SOL000772,PRODUCTOS EMPRESAS,Desarrollo,20/09/2019,,Medio Bajo,2.18,S,GARANTIAS,20/09/2019
SOL000771,CANALES,Asignado,19/09/2019,,Medio Alto,3.1,,BIP CANAL,20/09/2019
SOL000770,PROCESOS Y ORGANIZACION,Prueba,19/09/2019,,Medio Alto,3.54,,INFRAESTRUCTURA Y SERVICIOS,20/09/2019
SOL000769,SOPORTE DEL NEGOCIO,Desarrollo,19/09/2019,,Medio Alto,4.85,L,MEDIOS DE PAGOS,27/09/2019
SOL000768,GESTION DE LAS PERSONAS,Asignado,19/09/2019,,Bajo,1.22,S,META 4,20/09/2019
SOL000767,GESTION DE LAS PERSONAS,Asignado,19/09/2019,,Medio Bajo,1.68,,INTRANET,20/09/2019
SOL000766,PRODUCTOS,Prueba,18/09/2019,,Medio Bajo,2.42,S,INTRANET,23/09/2019
SOL000765,GESTION DE LAS PERSONAS,Prueba,18/09/2019,,Bajo,1.08,,META 4,20/09/2019
SOL000764,PROCESOS Y ORGANIZACION,Desarrollo,18/09/2019,,Bajo,0.73,,INTRANET,20/09/2019
SOL000763,CONTADURIA,Cerrado,18/09/2019,26/09/2019,Muy Bajo,0.5,,PAGOS Y SERVICIOS,20/09/2019
SOL000762,CONTADURIA,Prueba,18/09/2019,,Bajo,0.95,,PAGOS Y SERVICIOS,20/09/2019
SOL000761,GESTION DE LAS PERSONAS,Desarrollo,18/09/2019,,Medio Bajo,1.72,XS,META 4,20/09/2019
SOL000760,BANCA INSTITUCIONAL,Cancelado,17/09/2019,18/09/2019,Muy Bajo,0.32,,PAGOS Y SERVICIOS - MX,17/09/2019
SOL000759,GESTION DE LAS PERSONAS,Desarrollo,17/09/2019,,Medio Bajo,1.64,,INTRANET,20/09/2019
SOL000758,PREVENCION DEL LAVADO DE ACTIVOS,Cancelado,16/09/2019,17/09/2019,Bajo,0.55,,PREVENCION LAVADO DE ACTIVOS,
SOL000757,CONTADURIA,Cancelado,17/09/2019,17/09/2019,Muy Bajo,0.4,,CONTABILIDAD,
SOL000756,PROCESOS Y ORGANIZACION,Desarrollo,16/09/2019,,Medio Bajo,1.98,,BIP CANAL,24/09/2019
SOL000755,CONTADURIA,Cerrado,16/09/2019,04/10/2019,Bajo,1.42,,REGIMENES INFORMATIVOS,18/09/2019
SOL000754,CONTADURIA,Desarrollo,16/09/2019,,Bajo,1.42,,REGIMENES INFORMATIVOS,18/09/2019
SOL000753,CONTADURIA,Prueba,16/09/2019,,Bajo,1.42,,REGIMENES INFORMATIVOS,18/09/2019
SOL000752,CONTADURIA,Prueba,16/09/2019,,Medio Bajo,1.52,S,REGIMENES INFORMATIVOS,18/09/2019
SOL000751,CONTADURIA,Asignado,18/09/2019,,Bajo,1.42,,REGIMENES INFORMATIVOS,18/09/2019
SOL000750,PRODUCTOS EMPRESAS,Prueba,16/09/2019,,Medio Bajo,2.57,,CHEQUES Y DESCUENTO DE DOCUMENTOS,17/09/2019
SOL000749,CONTADURIA,Prueba,16/09/2019,,Bajo,0.87,,REGIMENES INFORMATIVOS,18/09/2019
SOL000748,CONTADURIA,Prueba,16/09/2019,,Bajo,0.87,XS,SISCENES,18/09/2019
SOL000747,ASUNTOS JUDICIALES,Cerrado,13/09/2019,20/09/2019,Muy Bajo,0,XS,JUREX,16/09/2019
SOL000746,GESTION DE LAS PERSONAS,Asignado,13/09/2019,,Medio Bajo,1.89,,INTRANET,20/09/2019
SOL000745,GESTION DE RIESGOS,Cancelado,13/09/2019,17/09/2019,Medio Bajo,2.1,,CAPITALES MINIMOS,
SOL000744,GESTION DE RIESGOS,Cancelado,13/09/2019,17/09/2019,Medio Bajo,2.1,,,
SOL000743,GESTION DE RIESGOS,Cancelado,13/09/2019,17/09/2019,Medio Bajo,2.1,,,
SOL000742,BANCA HIPOTECARIA,Desarrollo,13/09/2019,,Medio Alto,3.73,M,PRESTAMOS,16/09/2019
SOL000741,ASUNTOS JUDICIALES,Cerrado,13/09/2019,20/09/2019,Muy Bajo,0,XS,JUREX,16/09/2019
SOL000740,BANCA HIPOTECARIA,Desarrollo,13/09/2019,,Medio Alto,3.73,M,PRESTAMOS,20/09/2019
SOL000739,ASUNTOS JUDICIALES,Cerrado,13/09/2019,19/09/2019,Muy Bajo,0,XS,JUREX,16/09/2019
SOL000738,INFRAESTRUCTURA Y SERVICIOS,Prueba,13/09/2019,,Bajo,0.92,,CAPRI,30/09/2019
SOL000737,PROCESOS Y ORGANIZACION,Desarrollo,12/09/2019,,Medio Alto,3.64,,INTRANET,20/09/2019
SOL000736,PRODUCTOS,Validacion,12/09/2019,,Medio Alto,3.95,,PRESTAMOS,
SOL000735,CONTADURIA,Cancelado,12/09/2019,25/09/2019,Bajo,0.85,,A2180,18/09/2019
SOL000734,GESTION DE LAS PERSONAS,Prueba,12/09/2019,,Medio Bajo,1.79,,META 4,20/09/2019
SOL000733,GESTION DE LAS PERSONAS,Desarrollo,12/09/2019,,Bajo,0.64,,META 4,20/09/2019
SOL000732,PROCESOS Y ORGANIZACION,Validacion,12/09/2019,,Medio Alto,4.37,,BIP CANAL,
SOL000731,COMERCIO EXTERIOR,Cerrado,12/09/2019,18/09/2019,Medio Bajo,1.63,,COMERCIO EXTERIOR,12/09/2019
SOL000730,CONTADURIA,Cerrado,12/09/2019,04/10/2019,Bajo,1.42,,REGIMENES INFORMATIVOS,18/09/2019
SOL000729,PROCESOS Y ORGANIZACION,Desarrollo,11/09/2019,,Bajo,0.96,,CHEQUES Y DESCUENTO DE DOCUMENTOS,12/09/2019
SOL000728,PROCESOS Y ORGANIZACION,Desarrollo,11/09/2019,,Bajo,0.69,,CHEQUES Y DESCUENTO DE DOCUMENTOS,12/09/2019
SOL000727,PROCESOS Y ORGANIZACION,Desarrollo,11/09/2019,,Bajo,0.96,,CHEQUES Y DESCUENTO DE DOCUMENTOS,12/09/2019
SOL000726,SOPORTE DEL NEGOCIO,Cancelado,11/09/2019,24/09/2019,Medio Alto,4.19,,PAGOS Y SERVICIOS,
SOL000725,RED COMERCIAL,Validacion,11/09/2019,,Bajo,0.9,,CONTRATACIONES,
SOL000724,CONTADURIA,Asignado,10/09/2019,,Bajo,0.68,,GECON,16/09/2019
SOL000723,PROCESOS Y ORGANIZACION,Cerrado,10/09/2019,25/09/2019,Bajo,0.9,,CONTRATACIONES,10/09/2019
SOL000722,POLITICA Y PROYECCIONES FINANCIERAS,Cancelado,10/09/2019,10/09/2019,Medio Bajo,2.08,,INFRAESTRUCTURA Y SERVICIOS,
SOL000721,SOPORTE DEL NEGOCIO,Desarrollo,10/09/2019,,Bajo,1.41,XL,MEDIOS DE PAGOS,10/09/2019
SOL000720,SOPORTE DEL NEGOCIO,Desarrollo,10/09/2019,,Medio Bajo,1.96,XL,MEDIOS DE PAGOS,12/09/2019
SOL000719,SOPORTE DEL NEGOCIO,Cerrado,10/09/2019,04/10/2019,Muy Bajo,0.32,M,MEDIOS DE PAGOS,10/09/2019
SOL000718,BANCA HIPOTECARIA,Desarrollo,09/09/2019,,Medio Alto,3.73,M,PRESTAMOS,09/09/2019
SOL000717,TRANSFORMACION DIGITAL E INNOVACION,Validacion,09/09/2019,,Alto,5.8,,TARJETAS AGIL,
SOL000716,CONTADURIA,Cerrado,09/09/2019,19/09/2019,Bajo,1.08,,GECON,16/09/2019
SOL000715,BANCA HIPOTECARIA,Desarrollo,09/09/2019,,Medio Alto,4.45,M,PRESTAMOS,09/09/2019
SOL000714,PREVENCION DEL LAVADO DE ACTIVOS,Asignado,09/09/2019,,Medio Bajo,1.62,,CONTRATACIONES,03/10/2019
SOL000713,CONTADURIA,Cerrado,09/09/2019,27/09/2019,Muy Bajo,0,S,CONTABILIDAD,10/09/2019
SOL000712,RECUPERO DE DEUDAS,Desarrollo,06/09/2019,,Medio Alto,3.31,S,CONVENIOS,25/09/2019
SOL000711,RECUPERO DE DEUDAS,Cancelado,16/09/2019,18/09/2019,Medio Bajo,2.32,,CONVENIOS,16/09/2019
SOL000710,RECUPERO DE DEUDAS,Cerrado,16/09/2019,02/10/2019,Medio Bajo,1.98,S,CONVENIOS,16/09/2019
SOL000709,RECUPERO DE DEUDAS,Cerrado,06/09/2019,02/10/2019,Medio Bajo,1.98,S,CONVENIOS,16/09/2019
SOL000708,CONTADURIA,Desarrollo,06/09/2019,,Bajo,1.42,L,REGIMENES INFORMATIVOS,16/09/2019
SOL000707,CONTADURIA,Cerrado,06/09/2019,27/09/2019,Muy Bajo,0.32,S,CONTABILIDAD,10/09/2019
SOL000706,BANCA INSTITUCIONAL,Desarrollo,06/09/2019,,Alto,6.67,,PAGOS Y SERVICIOS,11/09/2019
SOL000705,RED COMERCIAL,Cerrado,06/09/2019,26/09/2019,Medio Alto,4.58,,IMPUESTOS,06/09/2019
SOL000704,GERENCIA GENERAL,Cerrado,06/09/2019,19/09/2019,Medio Bajo,1.74,,CUENTAS Y PLAZO FIJO,06/09/2019
SOL000703,ASUNTOS JUDICIALES,Cerrado,06/09/2019,25/09/2019,Bajo,0.72,,JUREX,11/09/2019
SOL000702,PROCESOS Y ORGANIZACION,Desarrollo,06/09/2019,,Bajo,0.72,,CUENTAS Y PLAZO FIJO,06/09/2019
SOL000701,BANCA INSTITUCIONAL,Desarrollo,06/09/2019,,Alto,6.34,,PAGOS Y SERVICIOS,06/09/2019
SOL000700,PROTECCION DE ACTIVOS DE INFORMACION,Asignado,05/09/2019,,Medio Bajo,2.7,S,SISTEMA DE GESTION INTERNA,06/09/2019
SOL000699,GESTION DE RIESGOS,Asignado,05/09/2019,,Bajo,0.68,S,SISTEMA DE GESTION INTERNA,09/09/2019
SOL000698,GESTION DE RIESGOS,Cerrado,05/09/2019,30/09/2019,Muy Bajo,0.5,S,SISTEMA DE GESTION INTERNA,09/09/2019
SOL000697,COMERCIO EXTERIOR,Cerrado,05/09/2019,09/09/2019,Bajo,1.45,,SUCURSALES BACK END,05/09/2019
SOL000696,PROCESOS Y ORGANIZACION,Cerrado,05/09/2019,10/09/2019,Medio Bajo,1.7,,REGIMENES INFORMATIVOS,05/09/2019
SOL000695,PROCESOS Y ORGANIZACION,Cerrado,05/09/2019,10/09/2019,Medio Bajo,1.95,,BIP CANAL,05/09/2019
SOL000694,COMERCIO EXTERIOR,Desarrollo,05/09/2019,,Medio Bajo,2.95,,COMERCIO EXTERIOR,09/09/2019
SOL000693,PRODUCTOS,Asignado,05/09/2019,,Medio Bajo,2.07,M,PRESTAMOS,11/09/2019
SOL000692,CONTADURIA,Cerrado,04/09/2019,12/09/2019,Bajo,1.42,,REGIMENES INFORMATIVOS,12/09/2019
SOL000691,CONTADURIA,Desarrollo,04/09/2019,,Bajo,1.42,M,CAPITALES MINIMOS,05/09/2019
SOL000690,PREVENCION DEL LAVADO DE ACTIVOS,Validacion,04/09/2019,,Medio Bajo,2.54,,CONTRATACIONES,
SOL000689,CANALES,Prueba,04/09/2019,,Medio Alto,3.08,,CRM,11/09/2019
SOL000688,GESTION DE RIESGOS,Prueba,03/09/2019,,Medio Bajo,2.1,S,CAPITALES MINIMOS,12/09/2019
SOL000687,MARKETING,Cancelado,03/09/2019,23/09/2019,Alto,6.09,,INTERNET / MOBILE,
SOL000686,CONTADURIA,Cerrado,03/09/2019,27/09/2019,Bajo,0.82,,CONTABILIDAD,04/09/2019
SOL000685,CONTADURIA,Cerrado,03/09/2019,25/09/2019,Muy Bajo,0.5,,CONTABILIDAD,04/09/2019
SOL000684,CONTADURIA,Cerrado,03/09/2019,27/09/2019,Muy Bajo,0.32,,CONTABILIDAD,04/09/2019
SOL000683,CONTADURIA,Cerrado,03/09/2019,23/09/2019,Muy Bajo,0.5,,CONTABILIDAD,04/09/2019
SOL000682,CONTADURIA,Desarrollo,03/09/2019,,Medio Bajo,1.53,,GECON,12/09/2019
SOL000681,CONTADURIA,Desarrollo,02/09/2019,,Muy Bajo,0,,CAPRI,03/09/2019
SOL000680,CONTADURIA,Prueba,02/09/2019,,Muy Bajo,0,,CAPRI,06/09/2019
SOL000679,COMERCIO EXTERIOR,Cerrado,02/09/2019,19/09/2019,Muy Bajo,0,,COMERCIO EXTERIOR,03/09/2019
SOL000678,PRODUCTOS,Desarrollo,02/09/2019,,Medio Bajo,2.05,,BIP CANAL,05/09/2019
SOL000677,PRODUCTOS EMPRESAS,Validacion,02/09/2019,,Alto,7.22,,INTERNET / MOBILE,
SOL000676,SOPORTE DEL NEGOCIO,Asignado,02/09/2019,,Medio Alto,3.1,,PAGOS Y SERVICIOS,01/10/2019
SOL000675,SOPORTE DEL NEGOCIO,Asignado,02/09/2019,,Alto,5.24,L,MEDIOS DE PAGOS,04/09/2019
SOL000674,BANCA INSTITUCIONAL,Cerrado,30/08/2019,11/09/2019,Medio Bajo,2,,CUENTAS Y PLAZO FIJO,02/09/2019
SOL000673,GESTION DE RIESGOS,Cerrado,30/08/2019,24/09/2019,Bajo,0.68,XS,SISTEMA DE GESTION INTERNA,30/08/2019
SOL000672,PREVENCION DEL LAVADO DE ACTIVOS,Cerrado,30/08/2019,,Muy Bajo,0,L,PREVENCION LAVADO DE ACTIVOS,30/08/2019
SOL000671,COMERCIO EXTERIOR,Prueba,29/08/2019,,Muy Bajo,0,,COMERCIO EXTERIOR,02/09/2019
SOL000670,GESTION DE RIESGOS,Cerrado,29/08/2019,05/09/2019,Medio Bajo,2.1,M,CAPITALES MINIMOS,30/08/2019
SOL000669,GESTION DE RIESGOS,Prueba,29/08/2019,,Medio Bajo,2.1,S,CAPITALES MINIMOS,05/09/2019
SOL000668,CONTADURIA,Cerrado,29/08/2019,12/09/2019,Bajo,1.42,S,CAPITALES MINIMOS,29/08/2019
SOL000667,PROCESOS Y ORGANIZACION,Prueba,28/08/2019,,Bajo,1.2,,SUCURSALES BACK END,03/09/2019
SOL000666,MERCADO DE CAPITALES,Cerrado,28/08/2019,10/09/2019,Medio Bajo,2.06,,SUCURSALES BACK END,03/09/2019
SOL000665,CANALES,Cerrado,28/08/2019,16/09/2019,Medio Alto,4.2,S,CRM,02/09/2019
SOL000664,PRODUCTOS EMPRESAS,Cerrado,28/08/2019,01/10/2019,Medio Bajo,1.64,,CONTRATACIONES,02/09/2019
SOL000663,PRODUCTOS EMPRESAS,Ingresado,01/10/2019,,Medio Alto,4.41,,TAS,
SOL000662,PRODUCTOS EMPRESAS,Validacion,28/08/2019,,Medio Alto,4.74,,TARJETAS,
SOL000661,PRODUCTOS EMPRESAS,Validacion,28/08/2019,,Medio Alto,5,,TARJETAS,
SOL000660,PRODUCTOS,En Redefinicion,28/08/2019,,Bajo,1.25,,BIP CANAL,
SOL000659,PLANIFICACION Y CONTROL DE GESTION,Cerrado,28/08/2019,20/09/2019,Bajo,1.04,XS,PAGOS Y SERVICIOS,03/09/2019
SOL000658,CONTADURIA,Cerrado,28/08/2019,,Bajo,1.42,S,REGIMENES INFORMATIVOS,28/08/2019
SOL000657,CONTADURIA,Cerrado,28/08/2019,23/09/2019,Bajo,1.42,S,CAPITALES MINIMOS,28/08/2019
SOL000656,BANCA INSTITUCIONAL,Desarrollo,28/08/2019,,Medio Alto,3.14,,BIP CANAL,04/09/2019
SOL000655,SOPORTE DEL NEGOCIO,En Redefinicion,28/08/2019,,Muy Bajo,0.32,,MEDIOS DE PAGOS,
SOL000654,PREVENCION DEL LAVADO DE ACTIVOS,Desarrollo,27/08/2019,,Bajo,1.4,,PREVENCION LAVADO DE ACTIVOS,30/08/2019
SOL000653,SOPORTE DEL NEGOCIO,Desarrollo,27/08/2019,,Alto,5.88,XL,ATM / IB / BE,10/09/2019
SOL000652,SOPORTE DEL NEGOCIO,Validacion,27/08/2019,,Alto,5.16,,MEDIOS DE PAGOS,
SOL000651,CANALES,Asignado,27/08/2019,,Medio Alto,3.43,,CRM,30/09/2019
